unique_id,url_len,ip_add,website_domain,registered_domain,https,js_len,js_obf_len,server_loc,most_visitors_loc,website_exist_time,unique_users_day,label
466580,23,74.50.128.69,com,complete,no,209,39,Americas,Oceania,281.5632996,15,good
644802,47,81.91.91.113,com,complete,yes,118,60,Europe,Oceania,136.9603282,1238,good
472336,27,53.223.105.79,com,complete,no,111,-8,Europe,Asia,294.693649,617,good
1103896,26,191.94.109.213,com,complete,yes,51,60,Americas,Europe,36.35292847,28,good
1042726,46,43.78.246.183,com,complete,yes,206,45,Asia,Americas,72.16929096,35,good
781207,28,77.149.197.176,com,incomplete,no,122,66,Europe,Africa,74.51485738,20,good
928472,19,76.219.201.139,it,complete,no,69,63,Americas,Africa,269.8921068,146,good
284130,43,197.48.25.27,com,complete,yes,216,49,Africa,Asia,25.69134091,145,good
501858,25,167.130.179.95,com,complete,yes,253,26,Oceania,Oceania,161.8006964,250,good
1042694,23,14.63.141.147,com,complete,no,101,33,Asia,Europe,171.1061499,522,good
402344,59,115.165.47.194,com,complete,yes,147,52,Asia,Africa,274.7947423,690,good
885433,34,37.98.202.229,com,complete,no,177,54,Europe,Europe,50.24227454,64,good
805577,31,160.214.55.140,co.uk,complete,yes,234,57,Europe,Americas,2.550771571,18,good
485690,25,70.63.44.190,com,complete,yes,177,39,Americas,Americas,62.36333255,193,good
53742,26,65.209.188.71,co.uk,complete,yes,144,84,Americas,Africa,17.82919915,9,good
1129614,23,218.170.159.75,com,complete,yes,53,17,Asia,Europe,254.5817206,489,good
810236,25,158.22.60.142,com,incomplete,no,724,626,Americas,Africa,24.68767216,36,bad
823439,58,207.26.27.50,com,complete,no,143,93,Americas,Asia,364.9564048,952,good
775929,37,219.151.142.52,com,complete,yes,86,3,Asia,Americas,203.8843539,566,good
283878,29,203.130.107.239,com,complete,no,118,68,Asia,Africa,242.0105771,545,good
1058857,30,78.159.2.245,com,complete,yes,161,33,Europe,Americas,261.4353767,2084,good
1198699,48,121.247.59.33,com,complete,yes,176,53,Asia,Americas,49.28193234,75,good
579349,36,215.84.151.208,com,complete,no,102,24,Americas,Asia,214.583507,5,good
479963,34,89.52.196.5,com,complete,no,168,83,Europe,Oceania,361.4598367,298,good
391645,42,59.129.239.149,org,complete,no,192,97,Asia,Oceania,343.3235572,725,good
683339,30,8.203.41.18,com,complete,yes,192,21,Americas,Asia,7.230967741,19,good
527010,50,157.240.180.185,com,complete,yes,179,50,Americas,Asia,220.8862837,168,good
1078081,31,56.86.55.212,ca,complete,no,151,82,Americas,Americas,72.91291576,54,good
17054,47,75.233.141.158,edu,incomplete,yes,179,29,Americas,Asia,109.689934,564,good
302243,33,164.157.27.176,org,incomplete,yes,244,46,Americas,Americas,185.7126108,45,good
869013,68,201.247.64.78,com,complete,yes,183,42,Americas,Oceania,90.2513801,185,good
684185,21,155.116.60.80,it,complete,yes,137,51,Americas,Africa,195.3373434,1508,good
731955,23,64.226.139.62,org,complete,no,170,48,Americas,Oceania,68.42981591,279,good
216583,51,85.164.182.235,com,complete,yes,254,65,Europe,Oceania,301.5566416,296,good
869751,37,41.120.121.86,co.uk,complete,yes,52,69,Africa,Europe,279.2570418,545,good
503540,29,195.49.103.189,de,incomplete,no,716,587,Europe,Europe,293.6400439,64,bad
734598,23,70.135.118.100,hu,complete,yes,79,78,Americas,Europe,119.3719439,580,good
80964,50,133.122.210.135,at,complete,no,182,39,Asia,Oceania,7.910245477,5,good
37935,40,137.164.160.14,org,complete,yes,180,30,Americas,Africa,330.8039023,36,good
457439,34,118.205.124.70,com,complete,yes,240,56,Asia,Asia,185.1953239,934,good
910422,30,14.63.169.133,com,incomplete,yes,147,46,Asia,Asia,210.2250115,939,good
1070870,26,3.19.220.190,se,incomplete,yes,172,56,Americas,Africa,70.77673211,336,good
989366,36,72.245.226.40,com,complete,yes,184,72,Americas,Africa,52.06164971,5,good
342341,42,189.237.242.107,org,incomplete,yes,174,63,Americas,Asia,177.7274998,184,good
465662,22,84.182.100.193,com,incomplete,yes,151,19,Europe,Africa,330.0321914,1883,good
716369,28,217.247.175.245,com,incomplete,yes,703,553,Europe,Asia,125.7105883,489,bad
893678,46,5.202.220.62,net,complete,yes,170,53,Asia,Asia,2.307413552,20,good
1074188,24,221.225.113.74,org,complete,yes,161,45,Asia,Oceania,328.4108082,994,good
115396,80,130.219.149.209,edu,complete,yes,76,28,Americas,Africa,188.7311414,262,good
129440,46,71.232.28.218,com,complete,yes,188,64,Americas,Oceania,346.2010176,1165,good
362200,19,166.88.217.177,org,incomplete,yes,277,61,Americas,Europe,362.6860177,1742,good
