unique_id,url_len,ip_add,website_domain,registered_domain,https,js_len,js_obf_len,server_loc,most_visitors_loc,website_exist_time,unique_users_day
706485,25,2.194.247.28,mb.ca,complete,yes,237,12,Europe,Africa,18.77727394,50
410058,44,35.155.196.110,com,complete,yes,146,57,Americas,Oceania,151.1513721,322
1005142,58,214.219.181.195,edu,complete,yes,126,12,Americas,Americas,283.4503034,240
991122,42,94.53.59.60,com,complete,yes,138,52,Europe,Asia,242.4205087,418
955277,47,220.94.159.201,com,complete,yes,158,54,Asia,Oceania,296.3391165,645
133677,55,116.131.39.241,com,complete,yes,231,52,Asia,Europe,349.6831643,331
478595,38,218.165.175.218,com,complete,yes,175,95,Asia,Asia,184.5268061,343
812397,27,219.167.222.232,com,incomplete,no,778,469,Asia,Oceania,327.8629322,2110
537096,50,150.87.77.44,com,incomplete,yes,387,66,Asia,Oceania,223.4322287,78
713503,20,106.196.153.14,org,incomplete,yes,244,35,Asia,Europe,72.82752482,116
223107,46,25.150.166.20,com,incomplete,yes,154,35,Europe,Americas,45.88590926,130
1084674,32,187.225.97.155,de,complete,yes,266,17,Americas,Asia,51.95302913,5
1148088,29,169.222.173.69,co.uk,complete,yes,188,53,Asia,Africa,333.7364625,694
253188,27,45.184.8.74,info,incomplete,yes,59,87,Americas,Oceania,212.1888508,177
583973,31,162.186.136.147,com,incomplete,yes,261,41,Americas,Asia,314.3885971,1767
184743,43,43.145.243.62,org,complete,yes,240,82,Asia,Europe,120.5458747,418
753299,26,120.150.88.176,com,complete,yes,92,46,Oceania,Africa,351.3385847,223
864637,39,178.171.116.206,co.uk,complete,no,208,23,Europe,Europe,114.2456973,390
93010,20,131.133.230.151,org,complete,no,86,30,Americas,Africa,340.1266994,2178
1013183,21,213.19.79.108,com,complete,yes,163,48,Europe,Asia,334.1459361,201
157502,26,216.141.248.247,com,complete,no,131,39,Americas,Americas,101.4623986,319
445004,83,153.22.118.232,edu,complete,yes,181,64,Americas,Americas,211.0612385,292
551275,27,124.234.43.154,com,complete,no,143,79,Asia,Americas,345.9721246,3742
73821,47,131.196.223.235,edu,complete,yes,175,37,Americas,Africa,97.87938622,39
480025,42,60.129.137.19,org,complete,yes,136,65,Asia,Europe,203.4086994,215
243899,26,210.94.244.62,net,complete,yes,72,62,Asia,Oceania,52.29885622,103
214579,38,70.219.152.72,com,incomplete,no,582,284,Americas,Europe,139.1294733,192
1168517,41,26.58.243.110,com,complete,yes,116,48,Americas,Asia,87.66001376,449
221253,67,210.76.63.181,com,complete,yes,144,26,Asia,Oceania,269.793857,782
850165,25,110.248.87.9,org,complete,yes,79,61,Asia,Americas,140.4296057,420
183956,26,169.72.154.8,lv,complete,no,30,15,Americas,Europe,215.0939899,203
637291,25,179.194.57.91,com,incomplete,no,265,63,Americas,Africa,172.3519522,169
59181,31,197.57.4.225,com,complete,yes,245,21,Africa,Americas,26.35045826,516
476952,31,1.234.184.173,com,complete,yes,92,31,Asia,Oceania,193.1338511,241
54724,38,220.191.188.109,com,complete,yes,177,30,Asia,Africa,218.8402156,558
933688,35,155.202.40.56,org,complete,yes,240,37,Europe,Asia,100.9506961,143
393907,44,85.45.156.241,co.uk,incomplete,yes,135,19,Europe,Asia,126.085898,227
931355,65,11.240.228.182,com,complete,yes,143,69,Americas,Americas,217.5703284,151
804606,31,125.151.210.175,org,complete,yes,164,60,Asia,Europe,135.9443451,968
682556,21,119.240.191.64,com,incomplete,yes,111,35,Asia,Africa,24.85879481,85
337352,25,179.7.60.50,com,complete,yes,250,-4,Americas,Asia,341.0681572,523
790086,24,96.156.90.171,com,complete,yes,121,70,Americas,Asia,293.5285286,493
764892,38,160.134.144.147,com,complete,yes,147,9,Americas,Africa,216.227901,308
599018,27,129.41.36.94,be,complete,yes,224,57,Americas,Oceania,3.077282088,18
136370,53,170.22.236.70,com,complete,yes,132,63,Americas,Americas,115.4453303,95
756361,50,157.206.213.129,com,complete,no,102,67,Americas,Americas,149.339563,932
1018794,33,212.88.58.242,com,complete,yes,178,41,Europe,Asia,349.917217,409
602044,23,79.203.209.165,ca,complete,no,163,79,Europe,Europe,283.2399322,358
13927,38,114.50.41.142,com,incomplete,yes,123,33,Asia,Africa,136.0583147,279
41613,32,222.47.67.196,org,complete,no,226,41,Asia,Africa,60.70180616,212
496167,53,34.210.71.165,com,complete,yes,159,66,Americas,Asia,78.89110269,265
468269,22,71.147.239.87,co.uk,incomplete,yes,147,67,Americas,Oceania,149.859255,186
684825,26,11.73.130.102,com,complete,yes,238,25,Americas,Africa,175.0017415,54
182237,32,11.91.159.165,com,incomplete,yes,103,37,Americas,Asia,15.03827453,15
1179574,46,155.98.62.43,com,complete,yes,172,64,Americas,Oceania,70.95248141,95
43351,33,100.199.236.89,com,complete,no,124,50,Americas,Europe,357.6160773,671
1088696,28,80.135.180.159,com,complete,yes,236,23,Europe,Asia,187.1762328,444
196238,37,166.239.217.132,com,complete,yes,148,35,Americas,Europe,45.94196357,169
421542,53,149.132.178.100,info,incomplete,yes,182,107,Europe,Asia,257.5116384,892
493884,25,178.164.12.219,net,complete,yes,131,72,Europe,Africa,35.13200871,34
704540,29,46.54.62.247,com,complete,yes,124,42,Europe,Asia,77.13459773,419
1071613,26,219.116.204.8,com,complete,yes,208,60,Asia,Oceania,176.7772601,195
476258,40,80.85.204.85,com,complete,yes,155,52,Europe,Americas,152.4143711,269
18858,25,213.156.81.163,co.nz,complete,yes,207,12,Europe,Oceania,249.6370232,958
